Attaching 1 probe...
1342999 ls /lib/x86_64-linux-gnu/libpcre2-8.so.0
1342999 ls /proc/filesystems
1342999 ls 
1342999 ls /usr/share/locale/locale.alias
1342999 ls /usr/lib/locale/C.UTF-8/LC_IDENTIFICATION
1342999 ls /usr/lib/locale/C.utf8/LC_IDENTIFICATION
1342999 ls /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
1342999 ls /usr/lib/locale/C.UTF-8/LC_MEASUREMENT
1342999 ls /usr/lib/locale/C.utf8/LC_MEASUREMENT
1342999 ls /usr/lib/locale/C.UTF-8/LC_TELEPHONE
1342999 ls /usr/lib/locale/C.utf8/LC_TELEPHONE
1342999 ls /usr/lib/locale/C.UTF-8/LC_ADDRESS
1342999 ls /usr/lib/locale/C.utf8/LC_ADDRESS
1342999 ls /usr/lib/locale/C.UTF-8/LC_NAME
1342999 ls /usr/lib/locale/C.utf8/LC_NAME
1342999 ls /usr/lib/locale/C.UTF-8/LC_PAPER
1342999 ls /usr/lib/locale/C.utf8/LC_PAPER
1342999 ls /usr/lib/locale/C.UTF-8/LC_MESSAGES
1342999 ls /usr/lib/locale/C.utf8/LC_MESSAGES
1342999 ls /usr/lib/locale/C.utf8/LC_MESSAGES/SYS_LC_MESSAGES
1342999 ls /usr/lib/locale/C.UTF-8/LC_MONETARY
1342999 ls /usr/lib/locale/C.utf8/LC_MONETARY
1342999 ls /usr/lib/locale/C.UTF-8/LC_COLLATE
1342999 ls /usr/lib/locale/C.utf8/LC_COLLATE
1342999 ls /usr/lib/locale/C.UTF-8/LC_TIME
1342999 ls /usr/lib/locale/C.utf8/LC_TIME
1342999 ls /usr/lib/locale/C.UTF-8/LC_NUMERIC
1342999 ls /usr/lib/locale/C.utf8/LC_NUMERIC
1342999 ls /usr/lib/locale/C.UTF-8/LC_CTYPE
1342999 ls /usr/lib/locale/C.utf8/LC_CTYPE
1342999 ls /etc/nsswitch.conf
1342999 ls /etc/passwd
1342999 ls /etc/group
1342999 ls /etc/localtime
1104632 node /proc
1104631 node /proc/506/cmdline
1104633 node /proc/568/cmdline
1104735 node /proc/1018579/cmdline
1104631 node /proc/783234/cmdline
1104632 node /proc/783337/cmdline
1104630 node /proc/783338/cmdline
1104633 node /proc/783343/cmdline
1104631 node /proc/783347/cmdline
1104632 node /proc/783360/cmdline
1104630 node /proc/783369/cmdline
1104633 node /proc/783395/cmdline
1104631 node /proc/783463/cmdline
1104632 node /proc/783476/cmdline
1104630 node /proc/783524/cmdline
1104633 node /proc/783533/cmdline
1104631 node /proc/783556/cmdline
1104632 node /proc/783557/cmdline
1104630 node /proc/783567/cmdline
1104633 node /proc/783632/cmdline
1104631 node /proc/783748/cmdline
1104632 node /proc/784130/cmdline
1104630 node /proc/809809/cmdline
1104632 node /proc/897164/cmdline
1343001 sh /etc/ld.so.cache
1343001 sh /lib/x86_64-linux-gnu/libc.so.6
1343002 ps /etc/ld.so.cache
1343002 ps /lib/x86_64-linux-gnu/libproc2.so.0
1343002 ps /lib/x86_64-linux-gnu/libc.so.6
1343003 grep /etc/ld.so.cache
1343003 grep /lib/x86_64-linux-gnu/libpcre2-8.so.0
1343002 ps /lib/x86_64-linux-gnu/libsystemd.so.0
1343003 grep /lib/x86_64-linux-gnu/libc.so.6
1343002 ps /lib/x86_64-linux-gnu/libcap.so.2
1343002 ps /lib/x86_64-linux-gnu/libgcrypt.so.20
1343003 grep 
1343002 ps /lib/x86_64-linux-gnu/liblz4.so.1
1343002 ps /lib/x86_64-linux-gnu/liblzma.so.5
1343003 grep /usr/share/locale/locale.alias
1343002 ps /lib/x86_64-linux-gnu/libzstd.so.1
1343003 grep /usr/lib/locale/C.UTF-8/LC_IDENTIFICATION
1343003 grep /usr/lib/locale/C.utf8/LC_IDENTIFICATION
1343003 grep /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
1343003 grep /usr/lib/locale/C.UTF-8/LC_MEASUREMENT
1343003 grep /usr/lib/locale/C.utf8/LC_MEASUREMENT
1343002 ps /lib/x86_64-linux-gnu/libgpg-error.so.0
1343003 grep /usr/lib/locale/C.UTF-8/LC_TELEPHONE
1343003 grep /usr/lib/locale/C.utf8/LC_TELEPHONE
1343003 grep /usr/lib/locale/C.UTF-8/LC_ADDRESS
1343003 grep /usr/lib/locale/C.utf8/LC_ADDRESS
1343003 grep /usr/lib/locale/C.UTF-8/LC_NAME
1343003 grep /usr/lib/locale/C.utf8/LC_NAME
1343003 grep /usr/lib/locale/C.UTF-8/LC_PAPER
1343003 grep /usr/lib/locale/C.utf8/LC_PAPER
1343003 grep /usr/lib/locale/C.UTF-8/LC_MESSAGES
1343002 ps /usr/lib/locale/locale-archive
1343003 grep /usr/lib/locale/C.utf8/LC_MESSAGES
1343003 grep /usr/lib/locale/C.utf8/LC_MESSAGES/SYS_LC_MESSAGES
1343002 ps /usr/share/locale/locale.alias
1343003 grep /usr/lib/locale/C.UTF-8/LC_MONETARY
1343003 grep /usr/lib/locale/C.utf8/LC_MONETARY
1343003 grep /usr/lib/locale/C.UTF-8/LC_COLLATE
1343002 ps /usr/lib/locale/C.UTF-8/LC_IDENTIFICATION
1343003 grep /usr/lib/locale/C.utf8/LC_COLLATE
1343002 ps /usr/lib/locale/C.utf8/LC_IDENTIFICATION
1343002 ps /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
1343003 grep /usr/lib/locale/C.UTF-8/LC_TIME
1343003 grep /usr/lib/locale/C.utf8/LC_TIME
1343002 ps /usr/lib/locale/C.UTF-8/LC_MEASUREMENT
1343002 ps /usr/lib/locale/C.utf8/LC_MEASUREMENT
1343003 grep /usr/lib/locale/C.UTF-8/LC_NUMERIC
1343003 grep /usr/lib/locale/C.utf8/LC_NUMERIC
1343002 ps /usr/lib/locale/C.UTF-8/LC_TELEPHONE
1343002 ps /usr/lib/locale/C.utf8/LC_TELEPHONE
1343003 grep /usr/lib/locale/C.UTF-8/LC_CTYPE
1343003 grep /usr/lib/locale/C.utf8/LC_CTYPE
1343002 ps /usr/lib/locale/C.UTF-8/LC_ADDRESS
1343002 ps /usr/lib/locale/C.utf8/LC_ADDRESS
1343002 ps /usr/lib/locale/C.UTF-8/LC_NAME
1343002 ps /usr/lib/locale/C.utf8/LC_NAME
1343002 ps /usr/lib/locale/C.UTF-8/LC_PAPER
1343002 ps /usr/lib/locale/C.utf8/LC_PAPER
1343002 ps /usr/lib/locale/C.UTF-8/LC_MESSAGES
1343002 ps /usr/lib/locale/C.utf8/LC_MESSAGES
1343002 ps /usr/lib/locale/C.utf8/LC_MESSAGES/SYS_LC_MESSAGES
1343003 grep /proc/self/maps
1343002 ps /usr/lib/locale/C.UTF-8/LC_MONETARY
1343002 ps /usr/lib/locale/C.utf8/LC_MONETARY
1343002 ps /usr/lib/locale/C.UTF-8/LC_COLLATE
1343002 ps /usr/lib/locale/C.utf8/LC_COLLATE
1343002 ps /usr/lib/locale/C.UTF-8/LC_TIME
1343002 ps /usr/lib/locale/C.utf8/LC_TIME
1343002 ps /usr/lib/locale/C.UTF-8/LC_NUMERIC
1343002 ps /usr/lib/locale/C.utf8/LC_NUMERIC
1343002 ps /usr/lib/locale/C.UTF-8/LC_CTYPE
1343002 ps /usr/lib/locale/C.utf8/LC_CTYPE
1343002 ps /etc/ld.so.cache
1343002 ps /lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v4/libnuma.so
1343002 ps /lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v3/libnuma.so
1343002 ps /lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v2/libnuma.so
1343002 ps /lib/x86_64-linux-gnu/libnuma.so
1343002 ps /usr/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v4/libnuma.so
1343002 ps /usr/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v3/libnuma.so
1343002 ps /usr/lib/x86_64-linux-gnu/glibc-hwcaps/x86-64-v2/libnuma.so
1343002 ps /usr/lib/x86_64-linux-gnu/libnuma.so
1343002 ps /lib/glibc-hwcaps/x86-64-v4/libnuma.so
1343002 ps /lib/glibc-hwcaps/x86-64-v3/libnuma.so
1343002 ps /lib/glibc-hwcaps/x86-64-v2/libnuma.so
1343002 ps /lib/libnuma.so
1343002 ps /usr/lib/glibc-hwcaps/x86-64-v4/libnuma.so
1343002 ps /usr/lib/glibc-hwcaps/x86-64-v3/libnuma.so
1343002 ps /usr/lib/glibc-hwcaps/x86-64-v2/libnuma.so
1343002 ps /usr/lib/libnuma.so
1343002 ps /etc/ld.so.cache
1343002 ps /lib/x86_64-linux-gnu/libnuma.so.1
1343002 ps /proc/self/status
1343002 ps /sys/devices/system/node
1343002 ps /sys/devices/system/cpu/possible
1343002 ps /proc/self/status
1343002 ps /proc/self/stat
1343002 ps /proc/uptime
1343002 ps /proc/1018794/status
1343002 ps /proc/1018794/stat
1343002 ps /dev/tty
1343002 ps /proc/sys/kernel/pid_max
1343002 ps /proc
1343002 ps /proc/uptime
1343002 ps /proc/1/stat
1343002 ps /proc/1/status
1343002 ps /etc/nsswitch.conf
1343002 ps /etc/passwd
1343002 ps /proc/1/environ
1343002 ps /proc/1/cmdline
1343002 ps /proc/1/wchan
1343002 ps /proc/1/ctty
1343002 ps /proc/2/stat
1343002 ps /proc/2/status
1343002 ps /proc/2/environ
1343002 ps /proc/2/cmdline
1343002 ps /proc/2/wchan
1343002 ps /proc/2/ctty
1343002 ps /proc/7/stat
1343002 ps /proc/7/status
1343002 ps /proc/7/environ
1343002 ps /proc/7/cmdline
1343002 ps /proc/7/wchan
1343002 ps /proc/7/ctty
1343002 ps /proc/56/stat
1343002 ps /proc/56/status
1343002 ps /proc/56/environ
1343002 ps /proc/56/cmdline
1343002 ps /proc/56/wchan
1343002 ps /proc/56/ctty
1343002 ps /proc/69/stat
1343002 ps /proc/69/status
1343002 ps /proc/69/environ
1343002 ps /proc/69/cmdline
1343002 ps /proc/69/wchan
1343002 ps /proc/69/ctty
1343002 ps /proc/78/stat
1343002 ps /proc/78/status
1343002 ps /proc/78/environ
1343002 ps /proc/78/cmdline
1343002 ps /proc/78/wchan
1343002 ps /proc/78/ctty
1343002 ps /proc/83/stat
1343002 ps /proc/83/status
1343002 ps /proc/83/environ
1343002 ps /proc/83/cmdline
1343002 ps /proc/83/wchan
1343002 ps /proc/83/ctty
1343002 ps /proc/99/stat
1343002 ps /proc/99/status
1343002 ps /proc/99/environ
1343002 ps /proc/99/cmdline
1343002 ps /proc/99/wchan
1343002 ps /proc/99/ctty
1343002 ps /proc/103/stat
1343002 ps /proc/103/status
1343002 ps /proc/103/environ
1343002 ps /proc/103/cmdline
1343002 ps /proc/103/wchan
1343002 ps /proc/103/ctty
1343002 ps /proc/200/stat
1343002 ps /proc/200/status
1343002 ps /etc/passwd
1343002 ps /proc/200/environ
1343002 ps /proc/200/cmdline
1343002 ps /proc/200/wchan
1343002 ps /proc/200/ctty
1343002 ps /proc/201/stat
1343002 ps /proc/201/status
1343002 ps /etc/passwd
1343002 ps /proc/201/environ
1343002 ps /proc/201/cmdline
1343002 ps /proc/201/wchan
1343002 ps /proc/201/ctty
1343002 ps /proc/240/stat
1343002 ps /proc/240/status
1343002 ps /proc/240/environ
1343002 ps /proc/240/cmdline
1343002 ps /proc/240/wchan
1343002 ps /proc/240/ctty
1343002 ps /proc/242/stat
1343002 ps /proc/242/status
1343002 ps /proc/242/environ
1343002 ps /proc/242/cmdline
1343002 ps /proc/242/wchan
1343002 ps /proc/242/ctty
1343002 ps /proc/243/stat
1343002 ps /proc/243/status
1343002 ps /etc/passwd
1343002 ps /proc/243/environ
1343002 ps /proc/243/cmdline
1343002 ps /proc/243/wchan
1343002 ps /proc/243/ctty
1343002 ps /proc/252/stat
1343002 ps /proc/252/status
1343002 ps /proc/252/environ
1343002 ps /proc/252/cmdline
1343002 ps /proc/252/wchan
1343002 ps /proc/252/ctty
1343002 ps /proc/255/stat
1343002 ps /proc/255/status
1343002 ps /proc/255/environ
1343002 ps /proc/255/cmdline
1343002 ps /proc/255/wchan
1343002 ps /proc/255/ctty
1343002 ps /proc/275/stat
1343002 ps /proc/275/status
1343002 ps /etc/passwd
1343002 ps /proc/275/environ
1343002 ps /proc/275/cmdline
1343002 ps /proc/275/wchan
1343002 ps /proc/275/ctty
1343002 ps /proc/276/stat
1343002 ps /proc/276/status
1343002 ps /proc/276/environ
1343002 ps /proc/276/cmdline
1343002 ps /proc/276/wchan
1343002 ps /proc/276/ctty
1343002 ps /proc/390/stat
1343002 ps /proc/390/status
1343002 ps /proc/390/environ
1343002 ps /proc/390/cmdline
1343002 ps /proc/390/wchan
1343002 ps /proc/390/ctty
1343002 ps /proc/399/stat
1343002 ps /proc/399/status
1343002 ps /proc/399/environ
1343002 ps /proc/399/cmdline
1343002 ps /proc/399/wchan
1343002 ps /proc/399/ctty
1343002 ps /proc/tty/drivers
1343002 ps /proc/491/stat
1343002 ps /proc/491/status
1343002 ps /etc/passwd
1343002 ps /proc/491/environ
1343002 ps /proc/491/cmdline
1343002 ps /proc/491/wchan
1343002 ps /proc/491/ctty
1343002 ps /proc/492/stat
1343002 ps /proc/492/status
1343002 ps /proc/492/environ
1343002 ps /proc/492/cmdline
1343002 ps /proc/492/wchan
1343002 ps /proc/492/ctty
1343002 ps /proc/506/stat
1343002 ps /proc/506/status
1343002 ps /proc/506/environ
1343002 ps /proc/506/cmdline
1343002 ps /proc/506/wchan
1343002 ps /proc/506/ctty
1343002 ps /proc/568/stat
1343002 ps /proc/568/status
1343002 ps /proc/568/environ
1343002 ps /proc/568/cmdline
1343002 ps /proc/568/wchan
1343002 ps /proc/568/ctty
1343002 ps /proc/757/stat
1343002 ps /proc/757/status
1343002 ps /proc/757/environ
1343002 ps /proc/757/cmdline
1343002 ps /proc/757/wchan
1343002 ps /proc/757/ctty
1343002 ps /proc/3500/stat
1343002 ps /proc/3500/status
1343002 ps /proc/3500/environ
1343002 ps /proc/3500/cmdline
1343002 ps /proc/3500/wchan
1343002 ps /proc/3500/ctty
1343002 ps /proc/5589/stat
1343002 ps /proc/5589/status
1343002 ps /etc/passwd
1343002 ps /proc/5589/environ
1343002 ps /proc/5589/cmdline
1343002 ps /proc/5589/wchan
1343002 ps /proc/5589/ctty
1343002 ps /proc/225402/stat
1343002 ps /proc/225402/status
1343002 ps /proc/225402/environ
550 redis-server /proc/299/stat
1343002 ps /proc/225402/cmdline
1343002 ps /proc/225402/wchan
1343002 ps /proc/225402/ctty
1343002 ps /proc/225403/stat
1343002 ps /proc/225403/status
1343002 ps /proc/225403/environ
1343002 ps /proc/225403/cmdline
1343002 ps /proc/225403/wchan
1343002 ps /proc/225403/ctty
1343002 ps /proc/225404/stat
1343002 ps /proc/225404/status
1343002 ps /proc/225404/environ
1343002 ps /proc/225404/cmdline
1343002 ps /proc/225404/wchan
1343002 ps /proc/225404/ctty
1343002 ps /proc/225407/stat
1343002 ps /proc/225407/status
1343002 ps /proc/225407/environ
1343002 ps /proc/225407/cmdline
1343002 ps /proc/225407/wchan
1343002 ps /proc/225407/ctty
1343002 ps /proc/225408/stat
1343002 ps /proc/225408/status
1343002 ps /proc/225408/environ
1343002 ps /proc/225408/cmdline
1343002 ps /proc/225408/wchan
1343002 ps /proc/225408/ctty
1343002 ps /proc/225419/stat
1343002 ps /proc/225419/status
1343002 ps /proc/225419/environ
1343002 ps /proc/225419/cmdline
1343002 ps /proc/225419/wchan
1343002 ps /proc/225419/ctty
1343002 ps /proc/227187/stat
1343002 ps /proc/227187/status
1343002 ps /etc/passwd
1343002 ps /proc/227187/environ
1343002 ps /proc/227187/cmdline
1343002 ps /proc/227187/wchan
1343002 ps /proc/227187/ctty
1343002 ps /proc/247511/stat
1343002 ps /proc/247511/status
1343002 ps /proc/247511/environ
1343002 ps /proc/247511/cmdline
1343002 ps /proc/247511/wchan
1343002 ps /proc/247511/ctty
1343002 ps /proc/517225/stat
1343002 ps /proc/517225/status
1343002 ps /proc/517225/environ
1343002 ps /proc/517225/cmdline
1343002 ps /proc/517225/wchan
1343002 ps /proc/517225/ctty
1343002 ps /proc/726176/stat
1343002 ps /proc/726176/status
1343002 ps /proc/726176/environ
1343002 ps /proc/726176/cmdline
1343002 ps /proc/726176/wchan
1343002 ps /proc/726176/ctty
1343002 ps /proc/726177/stat
1343002 ps /proc/726177/status
1343002 ps /proc/726177/environ
1343002 ps /proc/726177/cmdline
1343002 ps /proc/726177/wchan
1343002 ps /proc/726177/ctty
1343002 ps /proc/726178/stat
1343002 ps /proc/726178/status
1343002 ps /proc/726178/environ
1343002 ps /proc/726178/cmdline
1343002 ps /proc/726178/wchan
1343002 ps /proc/726178/ctty
1343002 ps /proc/731827/stat
1343002 ps /proc/731827/status
1343002 ps /proc/731827/environ
1343002 ps /proc/731827/cmdline
1343002 ps /proc/731827/wchan
1343002 ps /proc/731827/ctty
1343002 ps /proc/731828/stat
1343002 ps /proc/731828/status
1343002 ps /proc/731828/environ
1343002 ps /proc/731828/cmdline
1343002 ps /proc/731828/wchan
1343002 ps /proc/731828/ctty
1343002 ps /proc/731829/stat
1343002 ps /proc/731829/status
1343002 ps /proc/731829/environ
1343002 ps /proc/731829/cmdline
1343002 ps /proc/731829/wchan
1343002 ps /proc/731829/ctty
1343002 ps /proc/783228/stat
1343002 ps /proc/783228/status
1343002 ps /proc/783228/environ
1343002 ps /proc/783228/cmdline
1343002 ps /proc/783228/wchan
1343002 ps /proc/783228/ctty
1343002 ps /proc/783229/stat
1343002 ps /proc/783229/status
1343002 ps /proc/783229/environ
1343002 ps /proc/783229/cmdline
1343002 ps /proc/783229/wchan
1343002 ps /proc/783229/ctty
1343002 ps /proc/783234/stat
1343002 ps /proc/783234/status
1343002 ps /proc/783234/environ
1343002 ps /proc/783234/cmdline
1343002 ps /proc/783234/wchan
1343002 ps /proc/783234/ctty
1343002 ps /proc/783335/stat
1343002 ps /proc/783335/status
1343002 ps /proc/783335/environ
1343002 ps /proc/783335/cmdline
1343002 ps /proc/783335/wchan
1343002 ps /proc/783335/ctty
1343002 ps /proc/783336/stat
1343002 ps /proc/783336/status
1343002 ps /proc/783336/environ
1343002 ps /proc/783336/cmdline
1343002 ps /proc/783336/wchan
1343002 ps /proc/783336/ctty
1343002 ps /proc/783337/stat
1343002 ps /proc/783337/status
1343002 ps /proc/783337/environ
1343002 ps /proc/783337/cmdline
1343002 ps /proc/783337/wchan
1343002 ps /proc/783337/ctty
1343002 ps /proc/783338/stat
1343002 ps /proc/783338/status
1343002 ps /proc/783338/environ
1343002 ps /proc/783338/cmdline
1343002 ps /proc/783338/wchan
1343002 ps /proc/783338/ctty
1343002 ps /proc/783343/stat
1343002 ps /proc/783343/status
1343002 ps /proc/783343/environ
1343002 ps /proc/783343/cmdline
1343002 ps /proc/783343/wchan
1343002 ps /proc/783343/ctty
1343002 ps /proc/783347/stat
1343002 ps /proc/783347/status
1343002 ps /proc/783347/environ
1343002 ps /proc/783347/cmdline
1343002 ps /proc/783347/wchan
1343002 ps /proc/783347/ctty
1343002 ps /proc/783358/stat
1343002 ps /proc/783358/status
1343002 ps /proc/783358/environ
1343002 ps /proc/783358/cmdline
1343002 ps /proc/783358/wchan
1343002 ps /proc/783358/ctty
1343002 ps /proc/783359/stat
1343002 ps /proc/783359/status
1343002 ps /proc/783359/environ
1343002 ps /proc/783359/cmdline
1343002 ps /proc/783359/wchan
1343002 ps /proc/783359/ctty
1343002 ps /proc/783360/stat
1343002 ps /proc/783360/status
1343002 ps /proc/783360/environ
1343002 ps /proc/783360/cmdline
1343002 ps /proc/783360/wchan
1343002 ps /proc/783360/ctty
1343002 ps /proc/783367/stat
1343002 ps /proc/783367/status
1343002 ps /proc/783367/environ
1343002 ps /proc/783367/cmdline
1343002 ps /proc/783367/wchan
1343002 ps /proc/783367/ctty
1343002 ps /proc/783368/stat
1343002 ps /proc/783368/status
1343002 ps /proc/783368/environ
1343002 ps /proc/783368/cmdline
1343002 ps /proc/783368/wchan
1343002 ps /proc/783368/ctty
1343002 ps /proc/783369/stat
1343002 ps /proc/783369/status
1343002 ps /proc/783369/environ
1343002 ps /proc/783369/cmdline
1343002 ps /proc/783369/wchan
1343002 ps /proc/783369/ctty
1343002 ps /proc/783395/stat
1343002 ps /proc/783395/status
1343002 ps /proc/783395/environ
1343002 ps /proc/783395/cmdline
1343002 ps /proc/783395/wchan
1343002 ps /proc/783395/ctty
1343002 ps /proc/783463/stat
1343002 ps /proc/783463/status
1343002 ps /proc/783463/environ
1343002 ps /proc/783463/cmdline
1343002 ps /proc/783463/wchan
1343002 ps /proc/783463/ctty
1343002 ps /proc/783476/stat
1343002 ps /proc/783476/status
1343002 ps /proc/783476/environ
1343002 ps /proc/783476/cmdline
1343002 ps /proc/783476/wchan
1343002 ps /proc/783476/ctty
1343002 ps /proc/783524/stat
1343002 ps /proc/783524/status
1343002 ps /proc/783524/environ
1343002 ps /proc/783524/cmdline
1343002 ps /proc/783524/wchan
1343002 ps /proc/783524/ctty
1343002 ps /proc/783533/stat
1343002 ps /proc/783533/status
1343002 ps /proc/783533/environ
1343002 ps /proc/783533/cmdline
1343002 ps /proc/783533/wchan
1343002 ps /proc/783533/ctty
1343002 ps /proc/783550/stat
1343002 ps /proc/783550/status
1343002 ps /proc/783550/environ
1343002 ps /proc/783550/cmdline
1343002 ps /proc/783550/wchan
1343002 ps /proc/783550/ctty
1343002 ps /proc/783552/stat
1343002 ps /proc/783552/status
1343002 ps /proc/783552/environ
1343002 ps /proc/783552/cmdline
1343002 ps /proc/783552/wchan
1343002 ps /proc/783552/ctty
1343002 ps /proc/783556/stat
1343002 ps /proc/783556/status
1343002 ps /proc/783556/environ
1343002 ps /proc/783556/cmdline
1343002 ps /proc/783556/wchan
1343002 ps /proc/783556/ctty
1343002 ps /proc/783557/stat
1343002 ps /proc/783557/status
1343002 ps /proc/783557/environ
1343002 ps /proc/783557/cmdline
1343002 ps /proc/783557/wchan
1343002 ps /proc/783557/ctty
